id,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.dateSeen,prices.isSale,prices.merchant,prices.shipping,brand,manufacturer,primaryCategories,weight,,,,,
AVpgNkVc1cnluZ0-yJB6,55.99,55.99,Yes,USD,"2017-09-08T05:00:00Z,2017-08-31T21:00:00Z",FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,56.99,56.99,Yes,USD,"2017-06-01T17:00:00Z,2017-06-01T19:00:00Z,2017-05-01T15:00:00Z,2017-05-10T20:00:00Z,2017-05-09T15:00:00Z,2017-04-26T09:00:00Z,2017-05-18T08:00:00Z,2017-03-31T08:00:00Z,2017-03-30T10:00:00Z,2017-03-22T20:00:00Z,2017-03-15T17:00:00Z,2017-03-10T22:00:00Z,2017-03-05T08:00:00Z,2017-03-04T10:00:00Z",FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,65.99,65.99,Yes,USD,2017-08-01T00:00:00Z,FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,71.99,71.99,Yes,USD,"2017-09-08T05:00:00Z,2017-08-31T21:00:00Z,2017-08-30T07:00:00Z,2017-08-01T00:00:00Z,2017-08-01T17:00:00Z,2017-07-26T21:00:00Z",FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,63.99,63.99,Yes,USD,2017-08-01T17:00:00Z,FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,59.99,59.99,Yes,USD,2017-08-30T07:00:00Z,FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,64.99,64.99,Yes,USD,2017-07-26T21:00:00Z,FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,58.99,58.99,Yes,USD,2017-03-10T22:00:00Z,FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgNkVc1cnluZ0-yJB6,57.99,57.99,Yes,USD,"2017-06-01T17:00:00Z,2017-06-01T19:00:00Z,2017-05-01T15:00:00Z,2017-05-10T20:00:00Z,2017-05-09T15:00:00Z,2017-04-26T09:00:00Z,2017-05-18T08:00:00Z,2017-03-31T08:00:00Z,2017-03-30T10:00:00Z,2017-03-22T20:00:00Z,2017-03-15T17:00:00Z,2017-03-05T08:00:00Z,2017-03-04T10:00:00Z",FALSE,Bestbuy.com,,Outdoor Tech,,Electronics,6.7 ounces,,,,,
AVpgGPyq1cnluZ0-wbTJ,99.99,99.99,In Stock,USD,"2017-12-06T13:00:00Z,2017-11-16T19:00:00Z,2017-11-09T03:00:00Z,2017-11-01T13:00:00Z,2017-09-17T09:00:00Z,2017-08-15T15:00:00Z,2017-07-23T00:00:00Z",FALSE,UnbeatableSale,Freight,Motorola,Motorola,Electronics,13.6 ounces,,,,,
AVpgGPyq1cnluZ0-wbTJ,99.99,99.99,Yes,USD,"2017-10-10T16:00:00Z,2017-08-28T06:00:00Z,2017-08-11T14:00:00Z,2017-07-31T22:00:00Z,2017-08-01T18:00:00Z,2017-07-26T15:00:00Z",FALSE,Bestbuy.com,,Motorola,Motorola,Electronics,13.6 ounces,,,,,
AWACBprXKZqtpbFMVBZo,199.99,199.99,TRUE,USD,2018-05-26T15:00:00Z,FALSE,Bestbuy.com,,Samsung,,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,149.99,149.99,In Stock,USD,2018-04-26T16:00:00Z,TRUE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,159.99,159.99,In Stock,USD,"2018-05-04T08:00:00Z,2018-06-01T09:00:00Z",TRUE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,199,199,In Stock,USD,2018-04-26T16:00:00Z,FALSE,Walmart.com,Expedited,Samsung,,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,154.95,154.95,yes,USD,2018-06-08T15:00:00Z,FALSE,your-best-store,FREE,Samsung,,Electronics,0.017 pounds,,,,,
AWACBprXKZqtpbFMVBZo,199.99,199.99,In Stock,USD,"2017-12-06T18:00:00Z,2018-05-04T08:00:00Z,2017-12-06T20:00:00Z,2017-12-04T20:00:00Z,2018-04-26T16:00:00Z,2017-11-18T09:00:00Z,2018-06-01T09:00:00Z",FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Samsung,,Electronics,0.017 pounds,,,,,
AVpfVI9wilAPnD_xZxH-,89.99,89.99,In Stock,USD,2017-12-12T19:00:00Z,FALSE,BuyVPC,Value,WD,,Electronics,1.32 lb,,,,,
